,none|none|right,none|none|wrong,none|some|right,none|some|wrong,none|most|right,none|most|wrong,none|all|right,none|all|wrong,some|none|right,some|none|wrong,some|some|right,some|some|wrong,some|most|right,some|most|wrong,some|all|right,some|all|wrong,most|none|right,most|none|wrong,most|some|right,most|some|wrong,most|most|right,most|most|wrong,most|all|right,most|all|wrong,all|none|right,all|none|wrong,all|some|right,all|some|wrong,all|most|right,all|most|wrong,all|all|right,all|all|wrong
0,0.01125,0.014,0.0,0.0,0.0,0.0,0.0115,0.014,0.0,0.0,0.05375,0.061,0.03575,0.139,0.0,0.0,0.0,0.0,0.065,0.066,0.0,0.31475,0.0,0.0,0.0,0.0,0.1025,0.1115,0.0,0.0,0.0,0.0
1,0.00025,0.0,0.0,0.082,0.0,0.0055,0.0,0.00125,0.0,0.00175,0.002,0.0,0.004,0.0,0.01025,0.0,0.0,0.00725,0.00175,0.0,0.0075,0.0,0.05125,0.0,0.0,0.08325,0.0035,0.0,0.035,0.0,0.7035,0.0
2,0.0,0.01475,0.0,0.0,0.0,0.0,0.01375,0.0,0.003,0.0,0.0615,0.06625,0.149,0.04675,0.0,0.03575,0.0,0.0,0.076,0.07275,0.34175,0.0,0.0,0.0,0.0,0.0,0.0,0.11875,0.0,0.0,0.0,0.0
3,0.01575,0.01825,0.0,0.0,0.0,0.01025,0.0225,0.019,0.0,0.0,0.0775,0.102,0.0565,0.0,0.0,0.0,0.0,0.0,0.09525,0.11075,0.05775,0.0,0.0,0.0,0.0,0.0,0.16175,0.1765,0.07625,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01575,0.0015,0.0185,0.0165,0.0115,0.0395,0.01325,0.1225,0.07425,0.0,0.0,0.02225,0.0,0.08525,0.0,0.57925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0435,0.047,0.0505,0.1155,0.032,0.3345,0.02575,0.0,0.0,0.05925,0.0565,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.005,0.0,0.0,0.0,0.0,0.05375,0.0,0.0065,0.0,0.01525,0.0225,0.023,0.04575,0.0,0.13825,0.0,0.0,0.0,0.027,0.0265,0.0895,0.0,0.0,0.0,0.0,0.0,0.03925,0.0,0.50775,0.0,0.0,0.0
7,0.0215,0.02125,0.0,0.0,0.0105,0.0,0.016,0.021,0.0,0.0,0.09075,0.09225,0.0,0.04525,0.0,0.0,0.0,0.0,0.11125,0.09925,0.0,0.06275,0.0,0.0,0.0,0.0,0.16875,0.16275,0.0,0.07675,0.0,0.0
8,0.02125,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.00775,0.093,0.091,0.05925,0.23,0.0495,0.0,0.0,0.00975,0.11025,0.0,0.06575,0.0,0.069,0.0,0.0,0.0,0.1705,0.0,0.0,0.0,0.0,0.0
9,0.00975,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.03825,0.05075,0.04325,0.1,0.027,0.3095,0.0,0.0,0.0,0.0495,0.05425,0.21825,0.0,0.0,0.0,0.0,0.0,0.0885,0.0,0.0,0.0,0.0,0.0
10,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.01775,0.0,0.003,0.06325,0.06175,0.04975,0.1505,0.03475,0.0,0.0,0.0,0.07125,0.07925,0.0,0.335,0.0,0.0,0.0,0.0,0.12025,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00475,0.05425,0.06275,0.05325,0.1345,0.03975,0.43425,0.03175,0.0,0.0,0.07175,0.07225,0.0,0.04075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0045,0.0,0.0,0.033,0.0,0.0035,0.0,0.00925,0.0,0.01525,0.0145,0.0,0.024,0.0,0.08,0.05075,0.0,0.0,0.0145,0.0,0.05975,0.0,0.37975,0.0,0.0,0.0,0.0265,0.0,0.28475,0.0,0.0
13,0.01825,0.01725,0.0,0.0,0.0,0.0,0.0185,0.01725,0.0,0.0,0.07675,0.0775,0.05025,0.1815,0.0,0.0,0.0,0.0,0.09375,0.09875,0.05975,0.0,0.0,0.0,0.0,0.0,0.1425,0.148,0.0,0.0,0.0,0.0
14,0.0,0.005,0.0,0.0,0.0,0.0,0.00425,0.0,0.01675,0.0,0.019,0.02125,0.00825,0.0445,0.0,0.1195,0.0635,0.0,0.0,0.021,0.0,0.08425,0.0,0.5555,0.0,0.0,0.0,0.03725,0.0,0.0,0.0,0.0
15,0.0,0.02525,0.0085,0.0,0.01375,0.0,0.02075,0.0,0.00525,0.0,0.0,0.1215,0.0,0.0715,0.0,0.05675,0.0065,0.0,0.0,0.13825,0.0,0.076,0.0,0.06725,0.008,0.0,0.0,0.192,0.0,0.09675,0.0,0.092
16,0.002,0.0,0.0,0.0,0.0,0.0325,0.0,0.003,0.0,0.0085,0.01475,0.0145,0.0285,0.0,0.08075,0.0,0.0,0.04525,0.0145,0.0,0.055,0.0,0.38425,0.0,0.0,0.0,0.022,0.0,0.2945,0.0,0.0,0.0
17,0.0,0.01075,0.0,0.0,0.0,0.0,0.009,0.0,0.041,0.0,0.046,0.05,0.02925,0.10075,0.0,0.31475,0.0,0.0,0.0465,0.0535,0.0,0.22225,0.0,0.0,0.0,0.0,0.0,0.07625,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.01675,0.019,0.01775,0.03775,0.01425,0.1145,0.0105,0.0,0.0655,0.02375,0.0,0.093,0.0,0.58475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0065,0.0,0.0,0.05675,0.0,0.005,0.0,0.01875,0.0,0.01625,0.02075,0.0,0.05225,0.0,0.139,0.0,0.0,0.0255,0.0235,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.49525,0.0,0.0
20,0.0,0.004,0.0,0.0,0.0,0.0,0.003,0.0,0.00975,0.0,0.01175,0.01175,0.00475,0.0325,0.0,0.104,0.07425,0.0,0.0,0.0115,0.0,0.06375,0.0,0.64525,0.0,0.0,0.0,0.02375,0.0,0.0,0.0,0.0
21,0.0,0.0295,0.0055,0.0,0.006,0.0,0.032,0.0,0.00575,0.0,0.0,0.155,0.0,0.06425,0.0,0.037,0.00575,0.0,0.0,0.17625,0.0,0.05675,0.0,0.047,0.005,0.0,0.0,0.27175,0.0,0.05725,0.0,0.04525
22,0.02025,0.02,0.0,0.0,0.006,0.0,0.0165,0.0225,0.0,0.0,0.0975,0.09725,0.0,0.04425,0.0,0.0,0.0,0.0,0.121,0.10975,0.0,0.053,0.0,0.0,0.0,0.0,0.169,0.17825,0.0,0.04475,0.0,0.0
23,0.0,0.02075,0.0,0.0,0.0,0.0,0.02075,0.0,0.0045,0.0,0.08875,0.09525,0.28975,0.0435,0.0,0.0325,0.0,0.0,0.09775,0.106,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0
24,0.0,0.00875,0.0,0.0,0.0,0.0,0.00975,0.0,0.0565,0.0,0.04,0.0435,0.02575,0.11875,0.0,0.506,0.0,0.0,0.05075,0.04075,0.02425,0.0,0.0,0.0,0.0,0.0,0.0,0.07525,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375,0.057,0.0445,0.0415,0.12375,0.02525,0.554,0.017,0.0,0.0,0.05325,0.0515,0.0,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.002,0.0,0.0,0.0,0.0,0.03125,0.0,0.0035,0.0,0.011,0.00875,0.0065,0.01925,0.0,0.069,0.0,0.0,0.05125,0.01075,0.0,0.04725,0.0,0.441,0.0,0.0,0.0,0.01425,0.0,0.28425,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.04525,0.03475,0.034,0.1065,0.0215,0.41875,0.0125,0.0,0.0,0.04525,0.037,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.028,0.0,0.0,0.00475,0.0,0.00975,0.0,0.02775,0.0,0.00725,0.15125,0.0,0.064,0.0,0.042,0.0,0.0,0.00625,0.18175,0.0,0.06025,0.0,0.04575,0.0,0.0,0.00475,0.26175,0.0,0.06175,0.0,0.043,0.0
29,0.0,0.0005,0.0,0.0,0.032,0.0,0.0015,0.0,0.0085,0.0,0.00675,0.00775,0.0,0.01875,0.0,0.07025,0.0525,0.0,0.0,0.007,0.0,0.045,0.0,0.44925,0.0,0.0,0.0,0.0145,0.0,0.28575,0.0,0.0
