submission_id,A,Q1,Q2,age,comments,completed_text,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,nQuestions,names,options,qud,question,response,responseTime,responses,studentsArray,text
2069,NA,NA,NA,,,All of the students got none of the answers wrong,sample.high,,1362625,1764831711629,1764830349004,,,12,Marie|Nico|Mia|John|Alex,"All,None,Most,Some|all,most,none,some|right,wrong",NA,"Imagine you were a <b>teacher</b>, describe these results of this exam so as to make it appear as if there is a <b>high</b> success rate without lying.",NA,15986,All|none|wrong,12|3|0|0|0,%s of the students got %s of the answers %s
2069,NA,NA,NA,,,All of the students got all of the answers wrong,sample.info,,1362625,1764831711629,1764830349004,,,12,Julian|Chris|Marie|Lisanne|John,"All,None,Most,Some|all,most,none,some|right,wrong",NA,"Imagine you were a <b>principal</b>, describe these results of this exam as <b>accurately</b> as possible without making it sound particularly easy or difficult.",NA,3948,All|all|wrong,9|9|9|9|9,%s of the students got %s of the answers %s
2069,NA,NA,NA,,,Some of the students got most of the answers right,sample.low,,1362625,1764831711629,1764830349004,,,12,Marie|Nico|Mia|John|Alex,"All,None,Most,Some|all,most,none,some|right,wrong",NA,"Imagine you were a <b>student</b>, describe these results of this exam so as to make it appear as if there is a <b>low</b> success rate without lying.",NA,2492,Some|most|right,12|12|9|9|9,%s of the students got %s of the answers %s
2069,wrong.,Some,all,,,NA,info,,1362625,1764831711629,1764830349004,,,12,Jan|Johann|John|Theresa|Marie,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got all of the answers wrong.,Student,4596,NA,12|12|12|0|0,NA
2069,wrong.,Some,none,,,NA,high,,1362625,1764831711629,1764830349004,,,12,Lisa|Lisanne|Johann|Julia|Thomas,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got none of the answers wrong.,Principal,2063,NA,12|12|3|0|0,NA
2069,right.,Most,some,,,NA,info,,1362625,1764831711629,1764830349004,,,12,Lisanne|John|Chris|Julia|Susanne,Student|Principal|Teacher,Who is most likely to have said this report?,Most of the students got some of the answers right.,Teacher,795,NA,3|3|3|3|0,NA
2069,wrong.,All,some,,,NA,high,,1362625,1764831711629,1764830349004,,,12,Amy|Marie|Susanne|Lisa|Mia,Student|Principal|Teacher,Who is most likely to have said this report?,All of the students got some of the answers wrong.,Principal,732,NA,0|0|0|0|0,NA
2069,wrong.,Some,some,,,NA,high,,1362625,1764831711629,1764830349004,,,12,Tim|Jan|Susanne|Lisanne|Lesly,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got some of the answers wrong.,Student,502,NA,0|0|0|0|0,NA
2069,right.,Some,all,,,NA,high,,1362625,1764831711629,1764830349004,,,12,Chris|Julia|Thomas|Lisanne|Rebecca,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got all of the answers right.,Principal,603,NA,12|12|0|0|0,NA
2069,wrong.,Most,none,,,NA,info,,1362625,1764831711629,1764830349004,,,12,Tim|Jan|Lisanne|Rebecca|Julia,Student|Principal|Teacher,Who is most likely to have said this report?,Most of the students got none of the answers wrong.,Teacher,518,NA,12|12|12|0|0,NA
2069,right.,None,all,,,NA,high,,1362625,1764831711629,1764830349004,,,12,Pablo|Theresa|Julia|Chris|Johann,Student|Principal|Teacher,Who is most likely to have said this report?,None of the students got all of the answers right.,Principal,445,NA,0|0|0|0|0,NA
2069,wrong.,Some,none,,,NA,high,,1362625,1764831711629,1764830349004,,,12,Amy|Johann|Rebecca|Lisanne|Daniel,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got none of the answers wrong.,Student,464,NA,12|12|0|0|0,NA
2069,right.,Some,none,,,NA,low,,1362625,1764831711629,1764830349004,,,12,Alex|Julia|Thomas|Tim|Marie,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got none of the answers right.,Principal,629,NA,12|12|12|0|0,NA
2069,right.,Some,most,,,NA,high,,1362625,1764831711629,1764830349004,,,12,John|Daniel|Nico|Marie|Theresa,Student|Principal|Teacher,Who is most likely to have said this report?,Some of the students got most of the answers right.,Teacher,468,NA,9|9|0|0|0,NA
