submission_id,A,Q1,Q2,age,comments,completed_text,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,nQuestions,names,options,prolific_pid,prolific_session_id,prolific_study_id,qud,question,response,responseTime,responses,studentsArray,text
2100,NA,NA,NA,38,,Some of the students got all of the answers right,sample.high,Higher degree,220417,1765534824851,1765534604434,male,english,12,Marie|Nico|Mia|John|Alex,"All,Most,Some,None|all,some,none,most|wrong,right",65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>teacher</b>, describe these results of this exam so as to make it appear as if there is a <b>high</b> success rate without lying.",NA,22668,Some|all|right,12|3|0|0|0,%s of the students got %s of the answers %s
2100,NA,NA,NA,38,,All of the students got some of the answers right,sample.info,Higher degree,220417,1765534824851,1765534604434,male,english,12,Julian|Chris|Marie|Lisanne|John,"All,Most,Some,None|all,some,none,most|wrong,right",65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>principal</b>, describe these results of this exam as <b>accurately</b> as possible without making it sound particularly easy or difficult.",NA,15271,All|some|right,9|9|9|9|9,%s of the students got %s of the answers %s
2100,NA,NA,NA,38,,Some of the students got some of the answers wrong,sample.low,Higher degree,220417,1765534824851,1765534604434,male,english,12,Marie|Nico|Mia|John|Alex,"All,Most,Some,None|all,some,none,most|wrong,right",65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>student</b>, describe these results of this exam so as to make it appear as if there is a <b>low</b> success rate without lying.",NA,12499,Some|some|wrong,12|12|9|9|9,%s of the students got %s of the answers %s
2100,right.,All,all,38,,NA,info,Higher degree,220417,1765534824851,1765534604434,male,english,12,Nico|Lisa|Julia|Tim|John,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,All of the students got all of the answers right.,Principal,9643,NA,12|12|12|12|12,NA
2100,right.,Some,some,38,,NA,low,Higher degree,220417,1765534824851,1765534604434,male,english,12,Julia|Lisanne|Lisa|Chris|John,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got some of the answers right.,Student,7785,NA,12|12|12|12|12,NA
2100,wrong.,Some,most,38,,NA,low,Higher degree,220417,1765534824851,1765534604434,male,english,12,John|Susanne|Mia|Tim|Amy,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers wrong.,Student,6623,NA,12|12|12|3|3,NA
2100,wrong.,All,some,38,,NA,high,Higher degree,220417,1765534824851,1765534604434,male,english,12,Alex|Jan|Susanne|Lisa|Johann,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,All of the students got some of the answers wrong.,Teacher,4848,NA,0|0|0|0|0,NA
2100,wrong.,Most,none,38,,NA,info,Higher degree,220417,1765534824851,1765534604434,male,english,12,Lisanne|Chris|Tina|Nico|Jan,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got none of the answers wrong.,Teacher,5884,NA,12|12|12|0|0,NA
2100,right.,Some,most,38,,NA,high,Higher degree,220417,1765534824851,1765534604434,male,english,12,John|Alex|Lisanne|Theresa|Jan,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers right.,Teacher,6137,NA,9|9|3|0|0,NA
2100,right.,Some,all,38,,NA,high,Higher degree,220417,1765534824851,1765534604434,male,english,12,Alex|Lesly|Mia|Amy|Johann,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers right.,Teacher,4756,NA,12|12|0|0|0,NA
2100,wrong.,Most,all,38,,NA,info,Higher degree,220417,1765534824851,1765534604434,male,english,12,Pablo|Tina|Lisa|Marie|Lesly,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got all of the answers wrong.,Student,5562,NA,12|12|0|0|0,NA
2100,right.,Some,most,38,,NA,low,Higher degree,220417,1765534824851,1765534604434,male,english,12,Pablo|Thomas|Daniel|Chris|Lisanne,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers right.,Student,6720,NA,12|12|12|12|12,NA
2100,right.,Some,most,38,,NA,high,Higher degree,220417,1765534824851,1765534604434,male,english,12,Tina|Daniel|Lisanne|Johann|Alex,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers right.,Teacher,4769,NA,9|9|0|0|0,NA
2100,wrong.,Some,all,38,,NA,low,Higher degree,220417,1765534824851,1765534604434,male,english,12,Thomas|Mia|Chris|Julia|Jan,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers wrong.,Student,4949,NA,12|12|12|0|0,NA
2100,right.,Most,some,38,,NA,info,Higher degree,220417,1765534824851,1765534604434,male,english,12,Nico|Thomas|Daniel|Susanne|Lisanne,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got some of the answers right.,Teacher,5585,NA,3|3|3|3|0,NA
2100,wrong.,None,all,38,,NA,low,Higher degree,220417,1765534824851,1765534604434,male,english,12,Alex|Theresa|Rebecca|Johann|Nico,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,None of the students got all of the answers wrong.,Student,7477,NA,12|12|12|12|12,NA
2100,wrong.,Some,none,38,,NA,high,Higher degree,220417,1765534824851,1765534604434,male,english,12,Marie|Tina|John|Daniel|Amy,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got none of the answers wrong.,Teacher,6633,NA,12|12|3|0|0,NA
2100,right.,Some,all,38,,NA,info,Higher degree,220417,1765534824851,1765534604434,male,english,12,Pablo|John|Daniel|Tina|Julian,Student|Principal|Teacher,65537e14439274fe5036b4d2,693beb85d2177f604621e46f,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers right.,Teacher,3138,NA,12|12|0|0|0,NA
2101,NA,NA,NA,43,,Some of the students got all of the answers right,sample.high,Graduated College,240806,1765534831639,1765534590833,female,english,12,Marie|Nico|Mia|John|Alex,"Most,Some,All,None|all,none,some,most|right,wrong",601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>teacher</b>, describe these results of this exam so as to make it appear as if there is a <b>high</b> success rate without lying.",NA,25139,Some|all|right,12|3|0|0|0,%s of the students got %s of the answers %s
2101,NA,NA,NA,43,,All of the students got most of the answers right,sample.info,Graduated College,240806,1765534831639,1765534590833,female,english,12,Julian|Chris|Marie|Lisanne|John,"Most,Some,All,None|all,none,some,most|right,wrong",601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>principal</b>, describe these results of this exam as <b>accurately</b> as possible without making it sound particularly easy or difficult.",NA,19206,All|most|right,9|9|9|9|9,%s of the students got %s of the answers %s
2101,NA,NA,NA,43,,Most of the students got some of the answers wrong,sample.low,Graduated College,240806,1765534831639,1765534590833,female,english,12,Marie|Nico|Mia|John|Alex,"Most,Some,All,None|all,none,some,most|right,wrong",601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>student</b>, describe these results of this exam so as to make it appear as if there is a <b>low</b> success rate without lying.",NA,25855,Most|some|wrong,12|12|9|9|9,%s of the students got %s of the answers %s
2101,wrong.,All,some,43,,NA,high,Graduated College,240806,1765534831639,1765534590833,female,english,12,Lisa|Thomas|Tina|Mia|Lisanne,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,All of the students got some of the answers wrong.,Teacher,11992,NA,0|0|0|0|0,NA
2101,right.,All,all,43,,NA,info,Graduated College,240806,1765534831639,1765534590833,female,english,12,Nico|Alex|Rebecca|Lisa|Tim,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,All of the students got all of the answers right.,Principal,9772,NA,12|12|12|12|12,NA
2101,wrong.,None,all,43,,NA,low,Graduated College,240806,1765534831639,1765534590833,female,english,12,Tina|Tim|Julian|Lisa|Rebecca,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,None of the students got all of the answers wrong.,Student,8872,NA,12|12|12|12|12,NA
2101,wrong.,Most,none,43,,NA,info,Graduated College,240806,1765534831639,1765534590833,female,english,12,Marie|Jan|John|Lisa|Nico,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got none of the answers wrong.,Teacher,15986,NA,12|12|12|0|0,NA
2101,right.,Some,all,43,,NA,high,Graduated College,240806,1765534831639,1765534590833,female,english,12,Amy|Julian|Rebecca|Thomas|Tim,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers right.,Teacher,5058,NA,12|12|0|0|0,NA
2101,right.,Some,most,43,,NA,low,Graduated College,240806,1765534831639,1765534590833,female,english,12,Thomas|Jan|Theresa|Lesly|Tim,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers right.,Student,4477,NA,12|12|12|12|12,NA
2101,wrong.,Some,none,43,,NA,high,Graduated College,240806,1765534831639,1765534590833,female,english,12,Nico|Amy|Chris|Pablo|Tim,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got none of the answers wrong.,Teacher,5363,NA,12|12|3|0|0,NA
2101,wrong.,Some,most,43,,NA,low,Graduated College,240806,1765534831639,1765534590833,female,english,12,Rebecca|Mia|Lisa|Daniel|Julian,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers wrong.,Student,5035,NA,12|12|12|3|3,NA
2101,right.,Some,most,43,,NA,high,Graduated College,240806,1765534831639,1765534590833,female,english,12,Marie|Theresa|Julian|Johann|Susanne,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers right.,Teacher,4005,NA,9|9|3|0|0,NA
2101,right.,Some,all,43,,NA,info,Graduated College,240806,1765534831639,1765534590833,female,english,12,Julian|Julia|Nico|Thomas|Mia,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers right.,Principal,3142,NA,12|12|0|0|0,NA
2101,right.,Most,some,43,,NA,info,Graduated College,240806,1765534831639,1765534590833,female,english,12,Mia|Nico|Julia|Rebecca|Tina,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got some of the answers right.,Teacher,4726,NA,3|3|3|3|0,NA
2101,wrong.,Most,all,43,,NA,info,Graduated College,240806,1765534831639,1765534590833,female,english,12,Thomas|Susanne|John|Jan|Lisa,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got all of the answers wrong.,Student,3659,NA,12|12|0|0|0,NA
2101,right.,Some,most,43,,NA,high,Graduated College,240806,1765534831639,1765534590833,female,english,12,Johann|Amy|John|Marie|Mia,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers right.,Teacher,3606,NA,9|9|0|0|0,NA
2101,wrong.,Some,all,43,,NA,low,Graduated College,240806,1765534831639,1765534590833,female,english,12,Susanne|Nico|Alex|Chris|Johann,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers wrong.,Student,3926,NA,12|12|12|0|0,NA
2101,right.,Some,some,43,,NA,low,Graduated College,240806,1765534831639,1765534590833,female,english,12,John|Mia|Theresa|Nico|Johann,Student|Principal|Teacher,601ecf037d641438c0840330,693beb6b7f5cde562728b0ad,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got some of the answers right.,Student,2776,NA,12|12|12|12|12,NA
2102,NA,NA,NA,1835,,Most of the students got most of the answers right,sample.high,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Marie|Nico|Mia|John|Alex,"Some,Most,All,None|all,most,none,some|wrong,right",66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>teacher</b>, describe these results of this exam so as to make it appear as if there is a <b>high</b> success rate without lying.",NA,35232,Most|most|right,12|3|0|0|0,%s of the students got %s of the answers %s
2102,NA,NA,NA,1835,,All of the students got most of the answers right,sample.info,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Julian|Chris|Marie|Lisanne|John,"Some,Most,All,None|all,most,none,some|wrong,right",66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>principal</b>, describe these results of this exam as <b>accurately</b> as possible without making it sound particularly easy or difficult.",NA,14711,All|most|right,9|9|9|9|9,%s of the students got %s of the answers %s
2102,NA,NA,NA,1835,,Some of the students got some of the answers wrong,sample.low,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Marie|Nico|Mia|John|Alex,"Some,Most,All,None|all,most,none,some|wrong,right",66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,NA,"Imagine you were a <b>student</b>, describe these results of this exam so as to make it appear as if there is a <b>low</b> success rate without lying.",NA,30567,Some|some|wrong,12|12|9|9|9,%s of the students got %s of the answers %s
2102,right.,Most,some,1835,,NA,info,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Lisa|Daniel|Chris|Pablo|Johann,Student|Principal|Teacher,66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Most of the students got some of the answers right.,Teacher,11052,NA,3|3|3|3|0,NA
2102,right.,Some,all,1835,,NA,info,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,John|Marie|Julia|Rebecca|Johann,Student|Principal|Teacher,66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got all of the answers right.,Principal,18141,NA,12|12|0|0|0,NA
2102,wrong.,All,some,1835,,NA,high,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Lesly|Johann|Nico|Thomas|Tim,Student|Principal|Teacher,66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,All of the students got some of the answers wrong.,Teacher,6742,NA,0|0|0|0|0,NA
2102,wrong.,None,all,1835,,NA,low,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Chris|Tim|Amy|Susanne|Lisanne,Student|Principal|Teacher,66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,None of the students got all of the answers wrong.,Student,10630,NA,12|12|12|12|12,NA
2102,wrong.,Some,most,1835,,NA,low,Graduated High-school,287292,1765534870232,1765534582940,male,English,12,Rebecca|Thomas|Tina|Amy|Lisa,Student|Principal|Teacher,66cc7271fc697fe40b2ff3ad,693beb7088cbdace6ecf85bf,693ad5bf2d05418952f4d0c4,Who is most likely to have said this report?,Some of the students got most of the answers wrong.,Student,8334,NA,12|12|12|3|3,NA
